,eps,min_pts,clusters,len_clusters,noise
0,1,2,0,[],1317
1,1,5,0,[],1317
2,1,7,0,[],1317
3,1,10,0,[],1317
4,1,15,0,[],1317
5,1,20,0,[],1317
6,1,25,0,[],1317
7,1,50,0,[],1317
8,1,100,0,[],1317
9,1,150,0,[],1317
10,1,200,0,[],1317
11,1,250,0,[],1317
12,1,300,0,[],1317
13,1,350,0,[],1317
14,1,400,0,[],1317
15,1,450,0,[],1317
16,1,500,0,[],1317
17,1,750,0,[],1317
18,1,1000,0,[],1317
19,2,2,14,"[2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2]",1288
20,2,5,0,[],1317
21,2,7,0,[],1317
22,2,10,0,[],1317
23,2,15,0,[],1317
24,2,20,0,[],1317
25,2,25,0,[],1317
26,2,50,0,[],1317
27,2,100,0,[],1317
28,2,150,0,[],1317
29,2,200,0,[],1317
30,2,250,0,[],1317
31,2,300,0,[],1317
32,2,350,0,[],1317
33,2,400,0,[],1317
34,2,450,0,[],1317
35,2,500,0,[],1317
36,2,750,0,[],1317
37,2,1000,0,[],1317
38,3,2,68,"[6, 3, 2, 355, 7, 3, 2, 7, 22, 3, 2, 4, 4, 2, 2, 4, 2, 2, 2, 2, 3, 2, 2, 4, 3, 2, 4, 2, 3, 3, 2, 3, 2, 3, 2, 4, 2, 3, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2, 3, 2, 2, 2, 2, 2, 2, 4, 2, 4, 2, 2, 2, 2]",767
39,3,5,9,"[256, 5, 4, 8, 3, 6, 4, 3, 6]",1042
40,3,7,2,"[181, 5]",1138
41,3,10,1,[113],1209
42,3,15,2,"[16, 24]",1290
43,3,20,0,[],1317
44,3,25,0,[],1317
45,3,50,0,[],1317
46,3,100,0,[],1317
47,3,150,0,[],1317
48,3,200,0,[],1317
49,3,250,0,[],1317
50,3,300,0,[],1317
51,3,350,0,[],1317
52,3,400,0,[],1317
53,3,450,0,[],1317
54,3,500,0,[],1317
55,3,750,0,[],1317
56,3,1000,0,[],1317
57,4,2,13,"[1151, 3, 6, 2, 2, 2, 2, 2, 2, 2, 2, 2, 2]",137
58,4,5,2,"[1131, 4]",182
59,4,7,2,"[1087, 5]",226
60,4,10,1,[1039],279
61,4,15,1,[982],336
62,4,20,1,[922],398
63,4,25,1,[872],450
64,4,50,1,[587],735
65,4,100,1,[218],1109
66,4,150,0,[],1317
67,4,200,0,[],1317
68,4,250,0,[],1317
69,4,300,0,[],1317
70,4,350,0,[],1317
71,4,400,0,[],1317
72,4,450,0,[],1317
73,4,500,0,[],1317
74,4,750,0,[],1317
75,4,1000,0,[],1317
76,5,2,1,[1307],10
77,5,5,1,[1306],11
78,5,7,1,[1303],14
79,5,10,1,[1302],15
80,5,15,1,[1297],20
81,5,20,1,[1291],27
82,5,25,1,[1288],30
83,5,50,1,[1257],62
84,5,100,1,[1198],121
85,5,150,1,[1130],196
86,5,200,1,[1027],304
87,5,250,1,[840],493
88,5,300,1,[598],739
89,5,350,0,[],1317
90,5,400,0,[],1317
91,5,450,0,[],1317
92,5,500,0,[],1317
93,5,750,0,[],1317
94,5,1000,0,[],1317
95,6,2,1,[1317],0
96,6,5,1,[1317],0
97,6,7,1,[1317],0
98,6,10,1,[1317],0
99,6,15,1,[1317],0
100,6,20,1,[1317],0
101,6,25,1,[1317],0
102,6,50,1,[1315],2
103,6,100,1,[1313],5
104,6,150,1,[1312],7
105,6,200,1,[1307],12
106,6,250,1,[1303],16
107,6,300,1,[1297],22
108,6,350,1,[1285],34
109,6,400,1,[1272],54
110,6,450,1,[1258],68
111,6,500,1,[1231],104
112,6,750,0,[],1317
113,6,1000,0,[],1317
114,7,2,1,[1317],0
115,7,5,1,[1317],0
116,7,7,1,[1317],0
117,7,10,1,[1317],0
118,7,15,1,[1317],0
119,7,20,1,[1317],0
120,7,25,1,[1317],0
121,7,50,1,[1317],0
122,7,100,1,[1317],0
123,7,150,1,[1317],0
124,7,200,1,[1317],0
125,7,250,1,[1317],0
126,7,300,1,[1317],0
127,7,350,1,[1317],1
128,7,400,1,[1317],1
129,7,450,1,[1317],2
130,7,500,1,[1317],2
131,7,750,1,[1311],15
132,7,1000,1,[1047],999
133,8,2,1,[1317],0
134,8,5,1,[1317],0
135,8,7,1,[1317],0
136,8,10,1,[1317],0
137,8,15,1,[1317],0
138,8,20,1,[1317],0
139,8,25,1,[1317],0
140,8,50,1,[1317],0
141,8,100,1,[1317],0
142,8,150,1,[1317],0
143,8,200,1,[1317],0
144,8,250,1,[1317],0
145,8,300,1,[1317],0
146,8,350,1,[1317],0
147,8,400,1,[1317],0
148,8,450,1,[1317],0
149,8,500,1,[1317],0
150,8,750,1,[1317],1
151,8,1000,1,[1317],3
152,9,2,1,[1317],0
153,9,5,1,[1317],0
154,9,7,1,[1317],0
155,9,10,1,[1317],0
156,9,15,1,[1317],0
157,9,20,1,[1317],0
158,9,25,1,[1317],0
159,9,50,1,[1317],0
160,9,100,1,[1317],0
161,9,150,1,[1317],0
162,9,200,1,[1317],0
163,9,250,1,[1317],0
164,9,300,1,[1317],0
165,9,350,1,[1317],0
166,9,400,1,[1317],0
167,9,450,1,[1317],0
168,9,500,1,[1317],0
169,9,750,1,[1317],0
170,9,1000,1,[1317],0
171,10,2,1,[1317],0
172,10,5,1,[1317],0
173,10,7,1,[1317],0
174,10,10,1,[1317],0
175,10,15,1,[1317],0
176,10,20,1,[1317],0
177,10,25,1,[1317],0
178,10,50,1,[1317],0
179,10,100,1,[1317],0
180,10,150,1,[1317],0
181,10,200,1,[1317],0
182,10,250,1,[1317],0
183,10,300,1,[1317],0
184,10,350,1,[1317],0
185,10,400,1,[1317],0
186,10,450,1,[1317],0
187,10,500,1,[1317],0
188,10,750,1,[1317],0
189,10,1000,1,[1317],0
190,11,2,1,[1317],0
191,11,5,1,[1317],0
192,11,7,1,[1317],0
193,11,10,1,[1317],0
194,11,15,1,[1317],0
195,11,20,1,[1317],0
196,11,25,1,[1317],0
197,11,50,1,[1317],0
198,11,100,1,[1317],0
199,11,150,1,[1317],0
200,11,200,1,[1317],0
201,11,250,1,[1317],0
202,11,300,1,[1317],0
203,11,350,1,[1317],0
204,11,400,1,[1317],0
205,11,450,1,[1317],0
206,11,500,1,[1317],0
207,11,750,1,[1317],0
208,11,1000,1,[1317],0
209,12,2,1,[1317],0
210,12,5,1,[1317],0
211,12,7,1,[1317],0
212,12,10,1,[1317],0
213,12,15,1,[1317],0
214,12,20,1,[1317],0
215,12,25,1,[1317],0
216,12,50,1,[1317],0
217,12,100,1,[1317],0
218,12,150,1,[1317],0
219,12,200,1,[1317],0
220,12,250,1,[1317],0
221,12,300,1,[1317],0
222,12,350,1,[1317],0
223,12,400,1,[1317],0
224,12,450,1,[1317],0
225,12,500,1,[1317],0
226,12,750,1,[1317],0
227,12,1000,1,[1317],0
228,13,2,1,[1317],0
229,13,5,1,[1317],0
230,13,7,1,[1317],0
231,13,10,1,[1317],0
232,13,15,1,[1317],0
233,13,20,1,[1317],0
234,13,25,1,[1317],0
235,13,50,1,[1317],0
236,13,100,1,[1317],0
237,13,150,1,[1317],0
238,13,200,1,[1317],0
239,13,250,1,[1317],0
240,13,300,1,[1317],0
241,13,350,1,[1317],0
242,13,400,1,[1317],0
243,13,450,1,[1317],0
244,13,500,1,[1317],0
245,13,750,1,[1317],0
246,13,1000,1,[1317],0
247,14,2,1,[1317],0
248,14,5,1,[1317],0
249,14,7,1,[1317],0
250,14,10,1,[1317],0
251,14,15,1,[1317],0
252,14,20,1,[1317],0
253,14,25,1,[1317],0
254,14,50,1,[1317],0
255,14,100,1,[1317],0
256,14,150,1,[1317],0
257,14,200,1,[1317],0
258,14,250,1,[1317],0
259,14,300,1,[1317],0
260,14,350,1,[1317],0
261,14,400,1,[1317],0
262,14,450,1,[1317],0
263,14,500,1,[1317],0
264,14,750,1,[1317],0
265,14,1000,1,[1317],0
266,15,2,1,[1317],0
267,15,5,1,[1317],0
268,15,7,1,[1317],0
269,15,10,1,[1317],0
270,15,15,1,[1317],0
271,15,20,1,[1317],0
272,15,25,1,[1317],0
273,15,50,1,[1317],0
274,15,100,1,[1317],0
275,15,150,1,[1317],0
276,15,200,1,[1317],0
277,15,250,1,[1317],0
278,15,300,1,[1317],0
279,15,350,1,[1317],0
280,15,400,1,[1317],0
281,15,450,1,[1317],0
282,15,500,1,[1317],0
283,15,750,1,[1317],0
284,15,1000,1,[1317],0
